input_id,resolved_siret,official_name,confidence_score,match_method,alternatives,found_website,found_address,found_phone,found_email,country,city,postal_code,search_method,error
40ANIMATIONC,35300104300051,ANIMATION CONSEIL,1.0,DIRECT_ID,[],,,,,,,,,
40ANIMATIONF,,,0.0,NOT_FOUND,[],,,,,,,,,
40ANTEMETA00,48928896900038,ANTEMETA,1.0,DIRECT_ID,[],,,,,,,,,
40AP2R000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40APAVE00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40APAVEEXPLO,33469181300052,WESTFALIA FRUIT FRANCE,1.0,DIRECT_ID,[],,,,,,,,,
40APIENTREPR,,,0.0,NOT_FOUND,[],,,,,,,,,
40APL0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40AQUALEHA00,40348889300013,AQUALEHA,1.0,DIRECT_ID,[],,,,,,,,,
40ARCO000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ARCOM00000,50805962300035,ARCOM PROVENCE,0.95,STRICT_LOCAL,[],,,,,,,,,
40ARDEL00000,34775754400023,APPLICATIONS RATIONNELLES ELECTRICITE,1.0,DIRECT_ID,[],,,,,,,,,
40ARMARA0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ARMELIA000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40AROMA00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ARTEMBAL00,,,0.0,NOT_FOUND,[],,,,,,,,,
40ARTEMIS000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ARTIPRO000,84500126200011,ARTI-PRO,1.0,DIRECT_ID,[],,,,,,,,,
40ARTKOSE000,43304975600037,ARTKOSE,0.95,STRICT_LOCAL,[],,,,,,,,,
40ASAP000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ASI0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ASSRAYON00,87748316400019,AUDIT SYSTEMES ET SURETE DES RAYONNAGES,1.0,DIRECT_ID,[],,,,,,,,,
40ATC0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ATELIERAIG,39816677700027,ATELIER PROTEGE DE L'AIGUILLON,1.0,DIRECT_ID,[],,,,,,,,,
40ATELIERDUG,93965251700011,L'ATELIER DU GOLFE,0.95,STRICT_LOCAL,[],,,,,,,,,
40ATELIERRUC,83034348900019,E.A. LA RUCHE,1.0,DIRECT_ID,[],,,,,,,,,
40ATELIERSMO,78553462900049,A R P E I,1.0,DIRECT_ID,[],,,,,,,,,
40ATHENAFORM,80958278600020,ATHENA FORMATION,1.0,DIRECT_ID,[],,,,,,,,,
40ATLANTETI0,,,0.0,NOT_FOUND,[],,,,,,,,,
40ATRESS0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ATSI000000,35259758700075,ATSI,1.0,DIRECT_ID,[],,,,,,,,,
40AUSAVETIER,48355656900026,KRC DIFFUSION,1.0,DIRECT_ID,[],,,,,,,,,
40AVENUE5000,32488435200059,5EME AVENUE,1.0,DIRECT_ID,[],,,,,,,,,
40AVIPRO0000,42262423900063,AVIPRO PROPRETE,0.95,STRICT_LOCAL,[],,,,,,,,,
40AXA0000000,72205746001971,AXA FRANCE IARD,1.0,DIRECT_ID,[],,,,,,,,,
40AXESS00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40AZ00000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40AZIMUT0000,79081900700010,AZIMUT,1.0,DIRECT_ID,[],,,,,,,,,
40BALEUX0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BANAG00000,70202025600013,BANAGRUMES,1.0,DIRECT_ID,[],,,,,,,,,
40BARNIE0000,40790775700048,BARNIER,1.0,DIRECT_ID,[],,,,,,,,,
40BASIDI0000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
