input_id,resolved_siret,official_name,confidence_score,match_method,alternatives,found_website,found_address,found_phone,found_email,country,city,postal_code,search_method,error
40AGRUBAN000,50377769000010,AGRUBAN,1.0,DIRECT_ID,[],,,,,,,,,
40AGRUM00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40AGRUNO0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40AGUACATERA,,,0.0,NOT_FOUND,[],,,,,,,,,
40AIRFLUX000,32668525200404,AIRFLUX,1.0,DIRECT_ID,[],,,,,,,,,
40AIRFLUXPA0,,,0.0,NOT_FOUND,[],,,,,,,,,
40AIRWOR0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40AIST000000,78320088400147,AIST 84,1.0,DIRECT_ID,[],,,,,,,,,
40AJB0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40AKTO000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40AKWAABA PR,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALCOAXARQU,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALCOREP000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALDEA00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALDERFARMS,,,0.0,NOT_FOUND,[],,,,,,,,,
